,userName,content,score,at
33,Mercoledi Nasiir,"Recently, the home app doesn't load properly, with only a picture of a robot and a couple saying ""let's try again"" show up instead of the usual interface. And every time I try tipping the drivers, there's an unclosable popup telling ""your device is offline"" even though I'm definitely online. Tried switching my network on either wifi or data connection but result is the same. Also the popup keeps reappearing after I close it. I'm not sure if my tip got sent through.",2,7/19/2021 1:51
34,Edward Richardson,"Latest update, everything is constantly 'loading'. No error messages... Just loading. Can't see gopay, can't access services. Tried reinstalling. Now I can't even log in. After inputting phone number it just shows loading wheel and doesn't go anywhere, or show any error messages. Used to use it a lot but this update is very frustrating - update... This was fixed after email correspondence. Thanks guys",5,8/16/2021 11:17
35,Fruitty Pun,"The app is excellent and complete, the service is quick most of the time. But, I hope they can fix the address/location bug. I always set delivery location to my home when ordering gofood, so I don't really pay attention to delivery address when I order food, but sometimes the delivery address change randomly and I didn't notice, so it create inconvenience to me and the driver when I clarify the actual address. Please fix this bug",4,12/3/2021 6:21
36,Ruth Taridayana,"I am always happy using this app despite its slow-loading map. It really eases my life to get the food, low-cost transportation, make payments, pay bills, and even ask someone else to buy me things from stores when I am sick. Gopay also integrates with Halodoc that it helps me to pay for a consultation with the doctors and order medicine so easily. Anyway, I like the older look better. The new one is absolutely more catchy, but the old one has the UX for the busy mind.",5,6/9/2021 20:10
37,A Google user,"I've been using this app almost two years. This app's good service to go anywhere. But recently, the price's higher with no promo, voucher, and lack services. *Not to mention bad customer service in this app. *When rainy day, there's difficult to get driver so wait a few minutes later. A few : 30 minutes later. Lolz *Sometimes location not match where you're, so fix it manually. *Not using paylater or transfer bank, there's some issue lost money. The best choose's using gopay or cash.",3,3/19/2020 10:50
38,Jamie Fulwood,It gets locations wrong. Then I can't cancel in time. It opens up on my phone without me touching it and has order on its own. I am serious. It has happened twice. Then I have to fight with GoJek to get it canceled. Not good customer service when it comes to online help with app problems. It needs to be fixed :( And please update the addresses of new homes and locations. Far behind and it gets drivers lost sometimes. KBP is building new things and so be aware of the changes.,3,6/18/2023 7:30
39,BANDIT VON JAVA,"This app is sooo stupid... It would work fine for a while n then malfunction, forcing me to uninstal n reinstal again. Each new update brings new bugs. When I click on Go Food, a dialog box pops up ""Looks like your permission is required"". I've given the app permission to access phone, camera, storage, location, mic n others. This time the dialog box says ""Oops... Server is busy. Don't worry we're on it. Try again"". Happened a few times. Unless u can fix it for good, I'll uninstal for good.",2,11/11/2021 3:07
40,Falah Sultan Alizhar,"From Five-stars to one-star. Here's the story: 1. I ordered Gocar, while waiting for the driver to pick me up, I tap the amount of tip to be given after the trip is over. 2. In the app, suddenly showed the driver has finished the trip. 23 km in 2 minutes?!! 3. My gopay balance has deducted, fare + tip, and I didn't even saw the car, and the driver didn't contacted me. 4. I contacted the CS, they refunded the fare, but the tip is unable to be refunded!!! That's it, I uninstalled. Bye.",1,10/11/2021 7:43
41,mistyhook,"I love the ui/ux. Its comfortable, filled with suttle but effective animations and really easy to navigate. The only issue I would have is that as a guy who orders a lot of food online, I dont usually top up a lot of money and then use it up over a month, instead everytime I wanna order something I top up. But the promos that allow you to only use Go-Pay doesnt allow you to even use or see how much it cuts off the actual price. In my opinion, justletthepeoplechoose and show an error screen",5,10/14/2021 3:40
42,Erwin Setiawan,"Efficient, user friendly and helpful. My input only gocar. Many times driver cancel order without specific reason. I just knew that they have privilege to do that without getting penalty. I hope penalty awarded to driver who cancel order that being taken of course with valid reason, otherwise they can easily cancel order easily. After all the party who looses are customers time.",5,6/8/2022 5:20
43,Nanda Wardi,"I have been using this app for years, because it has simple UI/UX. However, i have been let down recently after confirming that they giving discount over food delivery fee randomly, yes randomly. Seems like all kind of discount is spread randomly which is kind of nice but disappointing at the same time. Moreover, their customer service takes 30 - 50 mins to answer your issue, despite being a priority customer in their goclub. Disappointed.",2,9/29/2022 13:24
44,Teddy Setiawan Kho,"The old version works a gazzillion times better than the latest version. The latest version is a UI design nightmare. System wise not far different, it takes more than 10 seconds just to load the app on my 8Gb RAM mobile phone. Of course we know your priority, cosmetics over substance. Clearly paying high salary does not necessarily means you get high quality standard developers and designers. Utterly disappointing.",2,6/8/2020 5:11
45,Rina Fitriana,"Though there is an update request and also it's said that my old version of the app has been deactivated, I even could not have it done as I expected. After reaching 100%, it was like restart again doing the update. Meanwhile I have done all the requirements related to my mobile phone (restart the device, make sure having the stable wifi connection, etc.). So, how can I use the app again?",1,9/11/2020 17:02
46,Gray -ish,"I honestly love this app & services, but I don't really like the 'Super Partner' system which is hard to cancel order. I think I need to suggest this. Maybe you can work to add 'confirmation' before actually finish the order, so customers can check twice if they sure to order, or will change the order lists, or will cancel, or maybe the order button just accidentally clicked. Just like how those online shops work, to be safe.",5,8/13/2022 19:06
47,K Thrn,"Often waited for a long time then driver ""cancels"" when they get better offers or don't feel like it (incl. Bluebird). They asked and waited the customers to cancel which waste time instead of them just cancelling from their side, or just stray to a different location like hotel or mall and stay idle there. They dont want to initiate the cancellation and rejected multiple calls purposedly. And the whole app virtually doesn't have a customer service. No way to reach if there's any problem.",1,10/2/2022 12:36
48,Mohammad Sovan Hadibowo,"I very disappointed with double order/delivery feature. It suck when I had to wait for almost an hour for an order that normally only 10-14minutes. And suck when cannot cancel. Ridiculous when the app said it would be delivered within 14 minutes but almost an hour in actual because of this feature. The app is liar . Please, give the user ability to prefer not double order.",1,6/26/2022 12:36
49,Vie Airtifrun,"I have no problem with the connection or my phone, any app but gojek always have connection problem. The notification for ""you seems offline"" popping up very often. Gojek doesn't load the contents and I also have problem to order something. I uninstall the app, and when I tried to login, it also not connecting to the internet and the ""offline"" notification popped up. I am done with this app.",3,3/7/2022 1:03
50,Akhmad Ardiyansyah,"For customer's user friendly interface, that's 5 stars.. For poor maps location pinpoint >< customer's address, and map that's always lagging when it's raining, that's 2 stars. For ""driver's rating always disappeared before customer even able to rate"", that's 1 star. How can a company this big ignore bug on it's partner valuations??? Unacceptable.",1,7/23/2022 10:46
51,Zu N,"I just looked at the menu and try putting some dish in the order basket, to see how much it cost. I was going to order for tomorrow. Suddenly maybe I accidentally touch the ORDER button without knowing, and the app send the order. I immediately hit the cancel order, in less than one second. But the order can not be cancelled. I hit the NEED HELP button. The CS said the order can not be cancelled. Edit: NOW THE APP GIVES A WARNING, PLS CHECK YOUR ORDER AGAIN (SO YOU CAN CANCEL). THAT'S GOOD.",4,6/15/2022 12:14
52,Skully Kiwi,"This app became unuseable to me, with more than 300K balance left. Unuseable : Can't even properly load the content, have done clear cache try to see if there is changes but nope. Then try clearing data, and then re-try to login with registered number, which takes forever without any luck. Now i had to uninstall and re-install again which is took a lot of time and effort to re-adjust all the menu and settings!",1,12/13/2022 7:45
53,yusuf rahmatullah,"Love this app, good UX, easy payment integration. But, driver management is poor. First, not all driver has proper device, they hard to find the location without maps. Second, auto accept order. I often got driver who far away from the location or afraid from red zone or just don't want to accept the orde, then the driver ask to cancel it. It is very wasting time. I think this is one of a lot of reasons customer choose the other green app or choose the orange app.",1,7/14/2022 1:10
54,Ariadne Johana,"Hi! Your app works mostly great, however, within this COVID situation, there's a lot of road blocked and it didn't shown on the map, so a lot of the drivers needed more time to find accesible ways. Also, I just noticed that after I used Go-Send, the package recipient only shown on the notif panel (which when you click on it then the detail's gone) and there's no other details about recipients while I go to the order history section, made it hard to confirm whether it's arrived or not. Thank you.",4,5/27/2020 3:24
55,Jay Brown,"Samsung Galaxy S23 Ultra, Android 14, One UI 6.0 The app freezes constantly. Every time I use this app, I get the message that it has stopped responding. I have to force close, and reopen it, then it works again for a few minutes before freezing again. Please fix it. I will be forced to start using GRAB if this is not resolved quickly!!",1,12/14/2023 10:25
56,Melati Pusparani,"This application really sucks lately. It freezes most of the time. I need to close the app then restarting it to make it work. Sometimes, I need to redo all the the order because the progress is not properly saved. You guys need to fix it. The app is also really heavy, even for my brand new phone.",2,12/14/2023 6:11
57,Bastien,"Update: you should stop saying to people to have good internet connection, everyone has the same issue, the app is freezing and crashing non stop. Drivers can't even update their status and your order arrive when its ""still cooking"". - I use gofood every day. But for the last week it looks like every order take 30 minutes more than usual even for things that don't need cooking. 1 hour delivery for something that was usually taking 15-20minute. Very weird",1,12/17/2023 3:08
58,Only Facts,"I viewed the promotional page, clicked on 'Know More,' but didn't confirm any purchase, yet the platform charged me for the package deal. Unfortunate! I reached out to customer service, but they couldn't assist, stating it's non-transferable, non-exchangeable, and non-refundable. Extremely disappointing!",1,12/30/2023 10:37
59,Muhammad Fakhri,"Promo/discount menu is missing from my account, which is fine because maybe it was random to each user. But i subscribe to gofood plus that should be giving me free delivery fee, but how do gojek make a turn around? They make the store not gofood plus, but in my wife phone it is gofood plus. A great way to waste money, absolutely ridiculous",1,12/17/2023 13:04
60,Christine Cai,"1. The app hangs regularly 2. They give you a promotion code but after you enter it, the base price increases so the reduction will be merely $1 3. Drivers will cancel you after a long wait (9minutes minimally) no reimbursement is provided or a guaranteed ride after the booking is cancelled 4. You can't select address via the map even though there's the option to do so",1,12/11/2023 10:13
61,Akram,Great update! Completely broke saved addresses and Use My Current Location! Just missing the part where you make the UI even worse for no real reason other than 'modernization'! Truly a Bug-Free and Friction-Free experience!,1,12/11/2023 11:13
62,Ellison,"Driver didn't pick me, I still got charged. I tried to contact the app but no response. Seems like a tourist scam everywhere. Edit: customer service refunded me. Still, a lot of different plates on the drivers. Hard to trust 1 person in this country if even a single plate matches. They should do more check ups on the driver and ask their customers to always confirm the plate number.",4,12/24/2023 11:00
63,SURANURAGA.,"now it gets better. although sometimes there are problems with Gofood. but if there are good gorides but there are bad ones, the bad ones like to insult and bully me. So now I rarely use gorides, I often gofood. I suddenly got annoyed. because when I want to order goride, gocar, even gofood, it's the same. that is, they both like to crash and force close and hang or freeze, basically that's what makes me emotional sometimes when I order gofood and that happens",3,12/14/2023 3:54
64,-,"when i try to order it doesn't show any details of my order so I can't proceed my payment. it keeps loading and just loading the page that's it. however all function like search bar, restaurant menu is accessable. please fix, it might be the app's bug.",2,12/21/2023 13:44
65,Stephen Setiadi,"Used to be good but now it becomes worse, crash or freeze everytime, can't answer driver's call (the phone is ringing but no way to answer) making the driver waiting or thinking the customer ignore them, this is bad for both sides. Chat also has problem sometimes, no read receipt sometimes for both customer and driver. Idk if the dev is willing to fix it, since these problems already exist since April 2023 and not fixed until now.",2,12/11/2023 11:33
66,Rora Imelda,to much motion/animation in the UI make lag and annoying to make order. like fade in fade out cart when wanna order gofood i hope more interactive UI improved and make it faster todo searching and make order edit : as always i really hate the animation system and for f sake u can't even change the number when u want to buy data the app stopped working and force closed when u want paste the phone number i really wanna stop using this app if it was not for my parents 😤😡😡,2,12/11/2023 13:35
67,Scott Wang KL,"Drivers are constantly cancelling on me and sometimes I'm even held ""hostage"" by those that don't want to cancel and ask me to cancel. There seems to be no downsides for them to cancel so they can easily do things like this. Awful experience.",2,12/6/2023 2:08
68,Wahyu Nur Arifin,"UX is a good thing, but adding too much animation for ux purpose is a drawback, animation taking too much time to load, sometimes it doesnt work properly, just bring back the old waiting order gofood animation, never complain any of this since 2018",1,12/9/2023 7:26
69,Reza Kosasih,"Still got occasional freeze when ordering food even after latest update. Also, I kinda agree with everyone about showing map instead of animation. Atleast give me an option to see the map when I got the driver so I can confirm everything are right.",2,12/18/2023 1:14
70,Faryza Sannie,"This app keeps crashing frequently, even during my order, please fix it. It has nothing to do with internet connection. Which part is not so clear from our complaints? And we PAID more and more everyday for your app. Just fix it already!",1,12/25/2023 13:02
71,Aditya Penumudi,"Best app to book rides, where I have experienced 0 cancellations from drivers and less than 5 mins for assigning driver for ride (as well as for food delivery) with affordable prices. App is super smooth in doing what is does. Swiggy, Uber, Ola have a lot to learn from this app, in terms of app's performance, fratures, and mainly delighting customer with their amazing services and gaining trust.",5,11/28/2023 12:22
72,*ᒪᗩᗪY ᐯOᒪᗪEᗰOᖇT*,"After years & years of being loyal only to Gojek, I think it's time for me to say goodbye and try other apps. I am currently ill and live far away from my friends/family so oftentimes relying on this app to feed myself. But for the last few weeks (even after the -nth updates) everytime I clicked GoFood, it'll show: ""YOU SEEMS TO BE OFFLINE"". Do you know how ANGRY a starving person can be? My internet connection is alright; many heavier, bigger apps in my phone proved it!",1,12/24/2023 10:56
73,Boon Chia Ping,"The apps crashed and failed to load immediately after a driver accepted my call. Tried rebooting my phone, tried reinstall and get server busy error message. End up driver never turn up and not sure if my credit card was charged. Overall, it was a disaster experience. Edit: my internet connection is perfectly fine! Otherwise I won't be able to uninstall and download latest version from Play Store!",1,9/13/2023 0:11
74,Stephen Marcus,"I use Gojek a lot and the app gets worse with each update. 1. I only use the Gojek part of the app. The app is littered with new services from food delivery to my finances and credit. That won't happen. 2. My Indonesian wife and I check ride estimated costs on our phones. Itrimu's estimate is always cheaper than mine. Why? 3. The latest update has added the badly designed ""edit the pickup spot"". Yesterday the driver went up the road from where I was standing. I cancelled the ride.",2,12/16/2023 2:08
75,Syariffah Alsagoff,"While it is convenient since it is linked to paylah, sometimes the drivers tend to cancel at the last minute, right when they are nearby. It can get really frustrating. New update: Gojek drivers are very patient and understanding. Unlike other apps, they will not cancel. They are my go-to for my bookings to vets. Other drivers are rude. Thank you Gojek for grooming understanding drivers",5,12/26/2023 5:19
76,Aria Citra Kusuma,"it's a very helpful app. The GPS isn't always accurate for some locations, such as dead-end streets near junctions. It often got drivers lost.",4,12/25/2023 6:26
77,Isti Hartini,"Why does it freeze and ask us to force close all the time? Lately, the product has become so laggy and error all the time. It's so annoying..especially when we order food or are trying to pay with qris.",1,12/21/2023 1:37
78,Undyla - Chan,"It's literally impossible to get a GoFood order in less than an hour even if the restaurant is just around the corner. They implemented this stupid feature that makes you wait 30-40 minutes (or more) before they even call a driver, but no restaurant starts even making the order before a driver gets there because obviously they risk throwing out money if you cancel. So you wait while no one is making your food or on their way to get it, for no reason. GoShop drivers also never get items right",1,12/22/2023 5:22
79,Cenil Hippies,"Will give 5 star if their customer care seriously care towards the customer. They only use bots which is not intuitively give us solution. So it's no point to be high rank member such as Juragan and so on. No proper follow up, like email or calls. Different treatment if something to do with payment, they have high initiatives to call us over and over even it's not due yet.",3,12/8/2023 10:37
80,Nicholas William,"App keeps on crushing, and will always lag. I need to refresh the app over and over again. Although I have purchased some subscriptions, the promotions don't last long.",3,12/10/2023 9:23
81,mehhh,app was lagging and thought the driver wasn't moving so I cancelled my order but turn out the driver was alr reaching my destination. rebook another one and still lagging showing driver seem not to be moving but waited for a while and driver was here.,1,12/11/2023 21:01
82,Shadiqa Dewa,"The app freezes and crashes everytime I use it for quite a long time, and I have to clear its cache everytime that happens to make it work.",1,12/18/2023 9:30
83,Arnoldus Lasut,"This app freezes a lot of times lately. This is really annoying because I don't have a lot of time to use the app for something I need, but it took some efforts to restart the app again and again.",1,12/16/2023 19:08
84,Matthew Lim,"I opened to check the price, and somehow the app booked a ride for me without my authorisation. Best part is it didn't show up until I restarted the app. Didn't even know it booked until the driver called me. What nonsense is this?",1,12/18/2023 13:20
85,Diimy 2,"Sometimes... When i really need a ride the app just wouldn't connect to internet even when youtube is fine. The rude driver everywhere dropping me NOT on the places i wanted to be dropped off. Mind you i PAY for this services, yet the driver scold me for their fault?? All and all, its still an ok services",2,12/26/2023 15:46
86,Joseph Kuah,"After 1 week of using this app in bali, i think overall it's a convenient app like grab. However, there were 2 incidents where gojek double charged my credit card, and i had to make disputes via the customer service. It's either their payment system got problem, or they are simply not honest. I noticed the problem because my credit card provided sms me for every transaction. Not recommended for users whose credit card provider does not send notifications for transactions.",2,11/16/2023 2:59
87,Sm Bavani,"Sometimes, the pickup location is not very accurate. For instance, i choose blk 146 carpark near 24 hour coffee shop at potong pasir. Driver arrived but was waiting at the other end near blk 147. No where near the coffee shop. He said that's where the app brought him. Today, there was $6 ERP toll added to my bill. The driver didn't even tell me. I'm not a driver. I won't know where the ERP gantrys are or if there are alternative routes. The driver should inform us first. Not professional",3,12/27/2023 3:03
88,Pradipa P. Rasidi,"EDIT: Customer service responded. Useless. They instead blamed me for not setting the GPS correctly & closed the ticket. How the f is it even related? Garbage. Original:The route offered by the built-in map is an utter piece of trash. It frequently suggests small alleys when we're taking cars, or suggest blocked routes (diportal). There's no way to provide feedback so the map STOP using the garbage route.Meanwhile drivers relegate their responsibility to the application. Horrendous experience.",1,11/28/2023 14:43
89,Eugene Bay,the gojek onetap location keeps showing up at the top of the list of destinations. it would make sense of i can set it to my favorite onetap destination but i cannot change it and it is fixed at a one time visit i made to the hospital. tried everything including installing and rebooting and deleting all saved addresses but it still shows up.,1,11/15/2023 13:16
90,Samantha A,"This app is terrible, constantly lagging and unable to connect. Booked a car and then app suddenly was unresponsive- unable to check if car was coming or cancel. In the end, driver couldn't even access the app and had to cancel edit: Have reached out to gojek and their admin says they are aware of the issue but are still working on it. No app updates thus far.",1,9/13/2023 3:13
91,John Haapu,Downloaded the app because a friend told me it was the best value for money taxi app. Unfortunately the app booked a destination about 20m away from me and I had to cancel the trip and it cost me $4 about 80% of the original quoted fare to my actual destination. I would rather pay a little bit more and use a reliable UI like GRAB.,3,9/12/2023 6:36
